"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test27.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test28.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test29.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test3.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test30.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test31.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 8, 41
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test32.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test33.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test34.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 4, 14
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test35.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test4.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 11
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test5.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test6.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35, 7, 49
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test7.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 6, 38
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test8.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test9.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\zishu\1.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\zishu\2.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\vllbc\Desktop\My_Learn\Machine Learning\.ipynb_checkpoints\Untitled-checkpoint.ipynb", "Jupyter", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200
"c:\Users\vllbc\Desktop\My_Learn\Machine Learning\cvv\cv22.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\vllbc\Desktop\My_Learn\Machine Learning\shibie\shibie.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\vllbc\Desktop\My_Learn\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 20, 41
"c:\Users\vllbc\Desktop\My_Learn\Socket\fuwu.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 33
